original_index,true_label,predicted_label,actual_review_score,text
5995,1,0,5,purchased learn music system cartridges son yesterday thank god got one volume control feel bad people volume control way loud without one worried getting one didnt volume button couldnt see one store u cant see part toy still box screen pretty dark u see reflection easier u see story toys r us times already elmo cartridge wouldnt work son would press would say thats letter whats dont want son learning wrong letters finally got one worked today dora cartridge sticking called fisher price sending new dora stinks toy good yet bad time son loves thing much update months stopped working microphone cuts basically works whenever feels like month old son puts cartridge doesnt read like cartridge make music noises screen pressed called fisher price problem told cut microphone send back mic cartridge came toy also pay shippingas toy didnt cost enough send replacement system weeks also problems pages getting stuck like people said problem mostly cartridge send dora sesame streets back store finally got one worked well hope update gave people idea kind toy mean dont get wrong really good toy kids love fisher price done research putting market save packaging receipt long possible
6159,1,0,4,really cute little toy grand baby fire truckfire station crazy year guess matters happy personally thought bit small size money bell top needs revision poorly designed perhaps design really ring even aaa battery needed really bell
6237,1,0,4,like product daughter would put loves taking pics famliy camera great first camera kid interested taking pics whatnot games ok think could better thing would say bad products batteries die fast limited time play want conserve wall adapter pictures turn ok good im little suprised came worth didnt care wasnt pink blue kind looks like dark purple anyways great deal
6289,0,1,1,horse creepy moves almost funny barbie give sort heil salute creepy horse lurches motion movement jerky barbie kind learning arm raised like thatmy daughter cried say
6299,1,0,4,nice lights dont work interactive toys bought son look real like work dont bummer
6304,0,1,3,unsure rate toy packaging looks like toy christmas present daughter toy came plain box graphics inside christmas morning wont know complaint took toy box inspect seems great quality lot fun would recommend little girl
6308,0,1,3,good put whatever like kids use lot happy like got
6309,0,1,3,hasbro kreo alien strike nice building block model hasbros brand new blocks made good looking plastic great finish unfortunately pieces dont fit together tightly enough make toy sturdylegos world standard building block toys mega blok canada entered market ago hasbro arrives kreo kits great news blocks compatible two brands tested lego maniacs mega blok kits lego set gold standard fit finish every single piece fits perfectly virtually gaps pieces colors solid perfect consistent finish pieces fit together tightly also master designing kits stay together built mega bloks hand like dollar store step child fit finish nearly good legohasbro done excellent job solid well molded colors plastic nice shine consistent across parts dimensionally blocks nearly perfect biggest problem kit strength peg connection parts fit together fine removed easilythis complex model long moveable wings parts things tendency fall even slightest playing end fragile modelthe kit comes way oversized cardboard box carrying handle looks like attacheacute case sadly opened box bunch undersized solid plastic bags containing parts im used large bags lego uses dont pour parts place work bags keep parts sorted properly hated dumping parts logic bags parts spilled table logic goes away also disliked thick plastic bags use pair scissors cut open bagsthis terribly difficult build lego maniac could knock around hour medium level kit right number parts make things interesting many takes multiple sessions buildthe part colors nice pure particularly liked red translucent red parts hasbro chose pleasant shade redthe figures probably best part kit hasbro took figures notch faces sculpted cheek bones arms legs articulated really simple lego version painting nicely donelego long standing position build kits realistic guns mega blok gone way side position halo series nothing shoot em hasbro hit middle ground guns small pistol machine gun enemies robots people two spring loaded missile launchers missiles shoot feet little power seem safei think hasbro done excellent job trying make good solid building block toy hit spot exactly mega blok lego correct light force required separate blocks make toys much stronger potential winner stands kit makes static model hard play without breaking pieces
6311,0,1,2,little ones cant reel adults reel every seconds throw away
6313,1,0,4,daughter older loves anything little pony niece younger also loves anything mlp spent weekend together thought toy would fantasticand wasat first unfortunately quickly got bored toy cute appears well built fell quite bit play time take licking think child playing alone probably better staying power though daughter hasnt played since also walk carpet fine wood floors unfortunately also doesnt walk far bit bummer daughter said thats far goes voice sounds like heard cartoon looks daughter able brush hair sometimes cant toys really likes size pretty nice little pricey seems like one toys little goes sale half price become better value
